trapid	cayoid	age	sex	PC1	PC2
T20092	5R6	7.71	m	-1.096053921	-1.787028002
T20092	5R6	7.71	m	-1.096053921	-1.787028002
T20055	63V	17.42	f	0.925868425	-2.244997107
T20055	63V	17.42	f	0.925868425	-2.244997107
T20055	63V	17.42	f	0.925868425	-2.244997107
T20054	64P	20.32	f	-0.582770288	3.992050935
T20054	64P	20.32	f	-0.582770288	3.992050935
T20054	64P	20.32	f	-0.582770288	3.992050935
T20054	64P	20.32	f	-0.582770288	3.992050935
T20142	6B8	15.38	f	0.044154719	1.707779405
T20142	6B8	15.38	f	0.044154719	1.707779405
T20142	6B8	15.38	f	0.044154719	1.707779405
T20142	6B8	15.38	f	0.044154719	1.707779405
T20094	6C5	15.26	m	-1.049315032	1.411745524
T20094	6C5	15.26	m	-1.049315032	1.411745524
T20094	6C5	15.26	m	-1.049315032	1.411745524
T20094	6C5	15.26	m	-1.049315032	1.411745524
T20099	6C9	15.1	m	0.332577636	2.18801459
T20099	6C9	15.1	m	0.332577636	2.18801459
T20099	6C9	15.1	m	0.332577636	2.18801459
T20099	6C9	15.1	m	0.332577636	2.18801459
T20073	6F0	13.52	m	0.215222393	-1.479297255
T20073	6F0	13.52	m	0.215222393	-1.479297255
T20073	6F0	13.52	m	0.215222393	-1.479297255
T20073	6F0	13.52	m	0.215222393	-1.479297255
T20137	6I9	11.52	m	0.906124979	-0.392038021
T20137	6I9	11.52	m	0.906124979	-0.392038021
T20106	6K2	10.33	f	0.481685211	-1.822727452
T20106	6K2	10.33	f	0.481685211	-1.822727452
T20106	6K2	10.33	f	0.481685211	-1.822727452
T20106	6K2	10.33	f	0.481685211	-1.822727452
T20046	6N0	9.56	m	-0.994206179	-1.020888915
T20046	6N0	9.56	m	-0.994206179	-1.020888915
T20046	6N0	9.56	m	-0.994206179	-1.020888915
T20046	6N0	9.56	m	-0.994206179	-1.020888915
T20006	6P5	8.53	m	-0.17037888	-1.374397284
T20006	6P5	8.53	m	-0.17037888	-1.374397284
T20006	6P5	8.53	m	-0.17037888	-1.374397284
T20006	6P5	8.53	m	-0.17037888	-1.374397284
T20126	6P9	8.61	m	-0.973692476	0.206921298
T20126	6P9	8.61	m	-0.973692476	0.206921298
T20126	6P9	8.61	m	-0.973692476	0.206921298
T20126	6P9	8.61	m	-0.973692476	0.206921298
T20019	6Q5	7.71	m	-0.281251651	-2.501530153
T20019	6Q5	7.71	m	-0.281251651	-2.501530153
T20019	6Q5	7.71	m	-0.281251651	-2.501530153
T20019	6Q5	7.71	m	-0.281251651	-2.501530153
T20124	77I	23.22	f	0.798216416	0.578486895
T20124	77I	23.22	f	0.798216416	0.578486895
T20124	77I	23.22	f	0.798216416	0.578486895
T20124	77I	23.22	f	0.798216416	0.578486895
T20064	78I	17.83	f	1.814211489	0.97123396
T20064	78I	17.83	f	1.814211489	0.97123396
T20064	78I	17.83	f	1.814211489	0.97123396
T20064	78I	17.83	f	1.814211489	0.97123396
T20042	79Z	16.37	f	2.628039955	-0.881914766
T20042	79Z	16.37	f	2.628039955	-0.881914766
T20042	79Z	16.37	f	2.628039955	-0.881914766
T20042	79Z	16.37	f	2.628039955	-0.881914766
T20140	7A2	16.5	m	3.090062435	-1.524003341
T20140	7A2	16.5	m	3.090062435	-1.524003341
T20140	7A2	16.5	m	3.090062435	-1.524003341
T20080	7B7	15.37	f	-2.335988083	1.395647377
T20080	7B7	15.37	f	-2.335988083	1.395647377
T20080	7B7	15.37	f	-2.335988083	1.395647377
T20141	7C4	15.41	f	0.545567123	-0.623230391
T20141	7C4	15.41	f	0.545567123	-0.623230391
T20141	7C4	15.41	f	0.545567123	-0.623230391
T20141	7C4	15.41	f	0.545567123	-0.623230391
T20037	7G1	12.53	m	-0.717795587	-1.858119058
T20037	7G1	12.53	m	-0.717795587	-1.858119058
T20037	7G1	12.53	m	-0.717795587	-1.858119058
T20037	7G1	12.53	m	-0.717795587	-1.858119058
T20051	7J8	11.58	f	-0.387918582	0.164475471
T20051	7J8	11.58	f	-0.387918582	0.164475471
T20051	7J8	11.58	f	-0.387918582	0.164475471
T20051	7J8	11.58	f	-0.387918582	0.164475471
T20136	7K8	10.52	f	0.126533547	0.947986117
T20136	7K8	10.52	f	0.126533547	0.947986117
T20136	7K8	10.52	f	0.126533547	0.947986117
T20136	7K8	10.52	f	0.126533547	0.947986117
T20134	81O	20.39	m	1.175218488	0.071022327
T20134	81O	20.39	m	1.175218488	0.071022327
T20134	81O	20.39	m	1.175218488	0.071022327
T20134	81O	20.39	m	1.175218488	0.071022327
T20105	82L	21.16	f	-0.875085277	3.696610316
T20105	82L	21.16	f	-0.875085277	3.696610316
T20105	82L	21.16	f	-0.875085277	3.696610316
T20105	82L	21.16	f	-0.875085277	3.696610316
T20070	8C0	14.48	m	1.127976233	-0.990345225
T20070	8C0	14.48	m	1.127976233	-0.990345225
T20070	8C0	14.48	m	1.127976233	-0.990345225
T20070	8C0	14.48	m	1.127976233	-0.990345225
T20025	8D2	13.83	m	3.129156335	1.425644403
T20025	8D2	13.83	m	3.129156335	1.425644403
T20025	8D2	13.83	m	3.129156335	1.425644403
T20025	8D2	13.83	m	3.129156335	1.425644403
T20038	8D6	14.46	m	0.459731291	0.064432755
T20038	8D6	14.46	m	0.459731291	0.064432755
T20038	8D6	14.46	m	0.459731291	0.064432755
T20038	8D6	14.46	m	0.459731291	0.064432755
T20003	8E8	13.43	f	-0.492401705	-0.977370061
T20003	8E8	13.43	f	-0.492401705	-0.977370061
T20003	8E8	13.43	f	-0.492401705	-0.977370061
T20003	8E8	13.43	f	-0.492401705	-0.977370061
T20091	8H0	12.48	m	0.55026481	-2.042640784
T20091	8H0	12.48	m	0.55026481	-2.042640784
T20091	8H0	12.48	m	0.55026481	-2.042640784
T20002	8K1	10.51	m	0.664111014	0.131553968
T20002	8K1	10.51	m	0.664111014	0.131553968
T20002	8K1	10.51	m	0.664111014	0.131553968
T20002	8K1	10.51	m	0.664111014	0.131553968
T20065	8P8	8.53	f	1.136111396	-1.177828145
T20065	8P8	8.53	f	1.136111396	-1.177828145
T20065	8P8	8.53	f	1.136111396	-1.177828145
T20065	8P8	8.53	f	1.136111396	-1.177828145
T20127	8R5	7.43	f	-0.005039235	2.823212541
T20127	8R5	7.43	f	-0.005039235	2.823212541
T20127	8R5	7.43	f	-0.005039235	2.823212541
T20127	8R5	7.43	f	-0.005039235	2.823212541
T20026	93R	19.45	m	3.826389523	-0.937907289
T20026	93R	19.45	m	3.826389523	-0.937907289
T20026	93R	19.45	m	3.826389523	-0.937907289
T20026	93R	19.45	m	3.826389523	-0.937907289
T20017	93Z	16.31	f	2.570523757	-1.61884629
T20017	93Z	16.31	f	2.570523757	-1.61884629
T20017	93Z	16.31	f	2.570523757	-1.61884629
T20017	93Z	16.31	f	2.570523757	-1.61884629
T20098	95V	17.08	f	-0.205662932	-1.051400507
T20098	95V	17.08	f	-0.205662932	-1.051400507
T20098	95V	17.08	f	-0.205662932	-1.051400507
T20098	95V	17.08	f	-0.205662932	-1.051400507
T20030	98K	22.02	m	4.722332613	-0.182050389
T20030	98K	22.02	m	4.722332613	-0.182050389
T20030	98K	22.02	m	4.722332613	-0.182050389
T20030	98K	22.02	m	4.722332613	-0.182050389
T20021	98T	17.23	f	2.390103943	-0.950946539
T20021	98T	17.23	f	2.390103943	-0.950946539
T20143	9C1	14.44	f	0.673650978	1.759690796
T20143	9C1	14.44	f	0.673650978	1.759690796
T20143	9C1	14.44	f	0.673650978	1.759690796
T20022	9D1	14.47	m	-1.422160463	2.405742358
T20022	9D1	14.47	m	-1.422160463	2.405742358
T20022	9D1	14.47	m	-1.422160463	2.405742358
T20022	9D1	14.47	m	-1.422160463	2.405742358
T20111	9D8	14.25	f	-0.390519699	1.69430857
T20111	9D8	14.25	f	-0.390519699	1.69430857
T20111	9D8	14.25	f	-0.390519699	1.69430857
T20111	9D8	14.25	f	-0.390519699	1.69430857
T20103	9E5	13.47	m	-1.04398038	-0.407730571
T20103	9E5	13.47	m	-1.04398038	-0.407730571
T20103	9E5	13.47	m	-1.04398038	-0.407730571
T20090	9H7	12.48	f	1.289893199	-1.327566489
T20090	9H7	12.48	f	1.289893199	-1.327566489
T20090	9H7	12.48	f	1.289893199	-1.327566489
T20090	9H7	12.48	f	1.289893199	-1.327566489
T20086	9I6	11.41	f	0.69060335	-2.475892416
T20086	9I6	11.41	f	0.69060335	-2.475892416
T20086	9I6	11.41	f	0.69060335	-2.475892416
T20086	9I6	11.41	f	0.69060335	-2.475892416
T20007	17K	22.37	m	2.083486337	-0.055904937
T20119	1B1	16.41	m	-1.320860435	3.49211463
T20116	4D3	14.33	m	2.862453504	0.062832792
T20118	51Z	16.42	f	-0.767317703	1.373510952
T20118	51Z	16.42	f	-0.767317703	1.373510952
T20013	7M3	9.53	m	2.715164635	-1.0532834
T20013	7M3	9.53	m	2.715164635	-1.0532834
T20013	7M3	9.53	m	2.715164635	-1.0532834
T20122	93T	17.38	f	3.441630198	-1.49989683
T20122	93T	17.38	f	3.441630198	-1.49989683
T20122	93T	17.38	f	3.441630198	-1.49989683
T20123	04T	18.42	m	1.358269338	1.7821943
T20117	8A9	16.5	m	-1.450176754	-1.228396174
T20121	9E3	13.35	m	-0.987637546	-0.072888898
T20121	9E3	13.35	m	-0.987637546	-0.072888898
