trapid	cayoid	age	sex	PC1	PC2
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19024	43V	15.67	m	0.689972157	4.359011452
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19067	4G8	10.83	m	1.255315015	-0.520905867
T19063	4K7	8.83	m	-0.571571944	0.196474369
T19063	4K7	8.83	m	-0.571571944	0.196474369
T19063	4K7	8.83	m	-0.571571944	0.196474369
T19063	4K7	8.83	m	-0.571571944	0.196474369
T19031	4M1	7.92	m	0.774622085	-1.070776025
T19031	4M1	7.92	m	0.774622085	-1.070776025
T19001	4M3	8	m	-1.181161139	-0.567574803
T19001	4M3	8	m	-1.181161139	-0.567574803
T19001	4M3	8	m	-1.181161139	-0.567574803
T19001	4M3	8	m	-1.181161139	-0.567574803
T19007	4Q9	5.92	m	-1.981280038	2.262008544
T19007	4Q9	5.92	m	-1.981280038	2.262008544
T19007	4Q9	5.92	m	-1.981280038	2.262008544
T19007	4Q9	5.92	m	-1.981280038	2.262008544
T19051	50I	21.67	f	0.438160411	1.439101623
T19051	50I	21.67	f	0.438160411	1.439101623
T19051	50I	21.67	f	0.438160411	1.439101623
T19051	50I	21.67	f	0.438160411	1.439101623
T19088	52P	18.67	f	3.950369594	0.78443304
T19088	52P	18.67	f	3.950369594	0.78443304
T19088	52P	18.67	f	3.950369594	0.78443304
T19088	52P	18.67	f	3.950369594	0.78443304
T19040	5C0	13.75	f	-1.031776338	2.861607795
T19040	5C0	13.75	f	-1.031776338	2.861607795
T19040	5C0	13.75	f	-1.031776338	2.861607795
T19040	5C0	13.75	f	-1.031776338	2.861607795
T19014	5G3	10.92	m	1.407006071	0.892909038
T19014	5G3	10.92	m	1.407006071	0.892909038
T19014	5G3	10.92	m	1.407006071	0.892909038
T19014	5G3	10.92	m	1.407006071	0.892909038
T19072	5K8	8.83	m	-1.758348857	-1.417140716
T19072	5K8	8.83	m	-1.758348857	-1.417140716
T19023	5P4	6.75	m	-1.456776088	2.369105058
T19023	5P4	6.75	m	-1.456776088	2.369105058
T19023	5P4	6.75	m	-1.456776088	2.369105058
T19023	5P4	6.75	m	-1.456776088	2.369105058
T19050	5Q8	5.83	f	-0.0347426	-0.090605659
T19050	5Q8	5.83	f	-0.0347426	-0.090605659
T19050	5Q8	5.83	f	-0.0347426	-0.090605659
T19050	5Q8	5.83	f	-0.0347426	-0.090605659
T19012	5R6	6.08	m	-1.025977017	0.084839583
T19012	5R6	6.08	m	-1.025977017	0.084839583
T19012	5R6	6.08	m	-1.025977017	0.084839583
T19012	5R6	6.08	m	-1.025977017	0.084839583
T19076	61R	17.67	m	4.195415774	-1.483078964
T19076	61R	17.67	m	4.195415774	-1.483078964
T19076	61R	17.67	m	4.195415774	-1.483078964
T19076	61R	17.67	m	4.195415774	-1.483078964
T19037	64P	18.67	f	-0.090180275	3.705259365
T19037	64P	18.67	f	-0.090180275	3.705259365
T19037	64P	18.67	f	-0.090180275	3.705259365
T19037	64P	18.67	f	-0.090180275	3.705259365
T19018	6C9	13.42	m	-1.065484536	0.813530691
T19018	6C9	13.42	m	-1.065484536	0.813530691
T19018	6C9	13.42	m	-1.065484536	0.813530691
T19018	6C9	13.42	m	-1.065484536	0.813530691
T19002	6N0	7.92	m	-1.994956133	3.273029888
T19002	6N0	7.92	m	-1.994956133	3.273029888
T19002	6N0	7.92	m	-1.994956133	3.273029888
T19002	6N0	7.92	m	-1.994956133	3.273029888
T19005	6P5	6.92	m	-1.652654742	2.747401694
T19005	6P5	6.92	m	-1.652654742	2.747401694
T19005	6P5	6.92	m	-1.652654742	2.747401694
T19005	6P5	6.92	m	-1.652654742	2.747401694
T19060	6Q2	6	f	0.354513915	-0.146920734
T19060	6Q2	6	f	0.354513915	-0.146920734
T19060	6Q2	6	f	0.354513915	-0.146920734
T19060	6Q2	6	f	0.354513915	-0.146920734
T19016	6Q5	6.08	m	-1.211404038	0.289085064
T19016	6Q5	6.08	m	-1.211404038	0.289085064
T19016	6Q5	6.08	m	-1.211404038	0.289085064
T19016	6Q5	6.08	m	-1.211404038	0.289085064
T19048	73V	15.75	m	2.348512992	0.186707579
T19048	73V	15.75	m	2.348512992	0.186707579
T19048	73V	15.75	m	2.348512992	0.186707579
T19048	73V	15.75	m	2.348512992	0.186707579
T19095	77I	21.58	m	1.288422162	-0.827603128
T19095	77I	21.58	m	1.288422162	-0.827603128
T19095	77I	21.58	m	1.288422162	-0.827603128
T19095	77I	21.58	m	1.288422162	-0.827603128
T19094	78I	21.67	f	-2.676952915	-1.264625868
T19094	78I	21.67	f	-2.676952915	-1.264625868
T19094	78I	21.67	f	-2.676952915	-1.264625868
T19094	78I	21.67	f	-2.676952915	-1.264625868
T19035	79Z	14.75	f	2.117946998	0.172585969
T19035	79Z	14.75	f	2.117946998	0.172585969
T19035	79Z	14.75	f	2.117946998	0.172585969
T19035	79Z	14.75	f	2.117946998	0.172585969
T19071	7B2	13.83	m	1.880572757	1.612092863
T19071	7B2	13.83	m	1.880572757	1.612092863
T19075	7K8	8.92	f	-0.508935819	0.274024575
T19075	7K8	8.92	f	-0.508935819	0.274024575
T19075	7K8	8.92	f	-0.508935819	0.274024575
