sample	sex	age	cd3tcells	bcells	nkcells	cd20hladrpos	cd8tregs	cd4tcells	cd8tcells	tregs	cd16pos	cd14cd16pos	cd14pos	cd16hladrpos	cd14cd16hladrpos	cd14hladrpos
2A7	f	16.17	77.8	6.02	16.2	4.15	1.43	29.6	35.3	4.76	65.7	16.1	18.2	15.6	12.8	71.6
2K1	f	10.17	65.6	20.7	13.7	16.6	1.24	33.7	26.4	3.31	39	27.5	33.5	12.9	18.5	68.6
2N8	m	9.42	67.8	8.49	23.7	6.35	0.88	36.5	26.1	3.1	25.6	14.2	60.1	8.3	6.61	85.1
3I9	m	11.33	75.4	8.33	16.3	6.14	0.64	28	38.7	1.66	16.4	19.1	64.5	5.35	5.87	88.8
3J8	m	11	53.4	26.4	20.1	22.8	1.06	26.6	21.8	4.61	36	16.3	47.8	7.06	7.86	85.1
3L1	m	10.33	69.1	7.29	23.6	5.38	0.74	22.1	36.3	1.69	64.5	25.3	10.1	29.3	26.4	44.3
3L2	m	10.25	68.9	25.9	5.24	22.8	0.62	34.6	30.4	5.42	72.4	11.9	15.7	29.1	11.8	59.1
3M2	m	9.42	37.8	39	23.2	31.4	0.88	17.7	12.3	2.03	34.1	26.4	39.5	4.53	3.96	91.5
4D3	m	14.33	80	12.5	7.52	10.8	1.48	21.5	54.7	1.02	20.8	18.8	60.4	7.66	17	75.4
4M1	m	9.25	72.3	21.4	6.31	18.3	2.35	21.3	28.4	3.41	42.3	9.62	48.1	1.78	4.48	93.7
4M3	m	9.25	79.4	7.61	12.9	5.81	0.78	48.7	22.7	2.83	50.6	28.3	21	27.2	13.9	58.9
04N INF	f	0.5	45.4	50.7	3.92	26.9	0.76	24.6	9.88	2.06	9.47	5.37	85.2	2.19	1.55	96.3
04N	f	20.67	67.3	27.4	5.29	22.4	0.84	32.7	29.2	7.35	36	16.2	47.7	3.86	3.43	92.7
04T	m	16.75	64.9	4.37	30.7	2.95	0.81	32.1	28.3	3.42	37.2	42	20.8	14.8	32.6	52.6
04Z	m	15.5	41.5	34.1	24.4	29	0.5	17.1	20.7	3.04	62.7	13.6	23.7	11.4	7.18	81.4
5B2	m	15	70.6	14.5	14.9	12.2	0.72	23.8	39.9	4.45	18.5	14.2	67.4	1.62	2.42	96
5C0	f	13.75	55.3	11.3	33.4	8.88	0.87	22.1	28.5	4.83	51.7	38.8	9.57	26	26.1	47.9
5.00E+04	m	13.08	52.7	21.6	25.7	19	0.3	19.6	29.4	1.26	21.4	11.5	67.1	13	4.01	83
5K3 INF	m	0.5	65.2	23	11.8	18.6	1.35	30.9	23	1.19	40.5	12.5	47	8.9	4.4	86.7
5K3	f	10.33	62.3	31.8	5.94	27.4	0.88	30.3	19.3	3.23	16.3	2.48	81.2	1.04	0.15	98.8
5K8	m	10.33	57.9	27.2	14.9	20.7	0.98	26.9	21.9	3.82	21.2	10.7	68.1	4.41	0.62	95
5P4	m	8	70.3	25.4	4.24	21.4	3.74	35.3	26	3.65	58.2	13.1	28.7	3.4	2.58	94
5R6	m	7.5	52.2	32.7	15.2	27.5	0.95	30.9	15.6	4.57	25.8	11	63.2	1.67	1.25	97.1
6B8	f	15.25	52.5	5.58	41.9	3.44	0.69	24.9	21.2	2.54	27.8	19.2	53.1	12.7	15.1	72.2
6C5	f	15.08	47.4	17.9	34.6	15.2	0.81	24.5	14.5	4.08	67.2	23.3	9.47	22	16	62
6C9	m	14.83	53.5	10.6	35.9	8.45	0.58	18.1	33.3	2.71	42.4	26.9	30.7	19.2	18.5	62.3
6F0	m	13.25	59.8	25.4	14.7	21	1.24	31.2	21.5	5.08	34	5.2	60.8	5.34	0.9	93.8
6I9	m	11.42	64	14	22	9.61	0.57	26	33.3	2.05	10.4	10.5	79.1	2.68	2.61	94.7
6K2	f	10.33	66.5	33.2	0.33	29.2	0.47	22.2	40.3	1.98	24	5.03	71	0.31	0.37	99.3
6P9	m	8.5	47.6	21.5	30.9	17.2	0.67	21.4	21.8	2.1	68.9	4.61	26.5	8.62	1.11	90.3
7A2	m	16.33	89.2	10	0.78	7.79	0.45	29.8	49.2	1.47	30.9	17	52.1	1.1	2.18	96.7
7B7	f	15.08	38.2	27.5	34.3	23.4	0.59	23	10.4	6.03	37.4	46.1	16.5	10.4	34.7	54.9
7J8	f	11.15	51	14.8	34.2	11.6	1.11	30.1	13.6	5.95	39.6	22.9	37.6	10.1	9.12	80.8
7K8 INF	f	0.5	49.8	42.8	7.35	35.3	0.64	26.1	14.7	0.74	30.1	25.1	44.8	4.05	11.9	84.1
7K8	f	10.42	55.7	13.2	31.1	10.3	1.09	23.2	25.2	1.62	34.6	31.4	34	12.6	11	76.3
7C4 INF	f	0.5	67.4	27.6	5.02	23.5	0.35	41.5	20.5	0.79	37	22.5	40.4	13.1	19.9	67
7C4	f	15.25	60.9	19.5	19.6	14.2	0.84	33	23.2	5.54	33.2	13.8	53	10.3	7.25	82.4
8A9	m	16.25	51	41.2	7.81	36.8	0.73	24.5	21.8	3.49	40.4	23.1	36.6	7.41	8.95	83.6
8C0	m	14.08	64	14	22	10.3	0.98	35	22.8	6.68	37.4	16.6	46.1	5.81	2.76	91.4
8H0	m	12.25	65	27	7.99	22.2	0.86	31.3	23.9	6.09	22.1	10.3	67.6	1.16	0.72	98.1
8P8	f	8.15	70.1	24.3	5.63	21	0.75	31.6	32.1	4.17	41.3	14.2	44.5	12.5	5.24	82.3
